Accession,Organism_Name,Release_Date,Nuc_Completeness,Segment,Country,Collection_Date
KF280727,Influenza A virus (A/India/VD122268/2012(H1N1)),2013-08-16,partial,4,India,2012-03-07
HB377110,Influenza A virus,2009-06-09,partial,,,
OY693901,Influenza A virus,2023-08-03,partial,6,United Kingdom,2022-12-08
PP072445,Influenza A virus,2024-01-08,partial,1,USA,2023-11-27
MK856402,Influenza A virus,2019-05-05,partial,4,USA,2019-01-04
MK326712,Influenza A virus,2018-12-25,partial,3,Guatemala,2014
LC123543,Influenza C virus (C/Miyagi/25/2004),2016-07-01,partial,3,Japan,2004-03-31
MT379128,Influenza A virus,2020-05-02,partial,6,France,2017-06-09
KY644153,Influenza A virus (A/yellow-billed teal/Chile/C4126/2015(H1N1)),2017-03-18,partial,6,Chile,2015-10-12
OR293272,Influenza A virus,2023-07-23,partial,6,USA,2023-05-18
OR458175,Influenza A virus,2023-08-23,partial,6,USA,2022-12-20
OQ663055,Influenza A virus,2023-03-26,partial,5,USA,2022-11-28
KF014797,Influenza A virus (A/Singapore/C2011.244/2011(H3N2)),2013-06-11,partial,3,Singapore,2011-03-30
MK553289,Influenza A virus,2019-02-27,partial,4,China,2018-10-25
OK563211,Influenza A virus,2022-02-23,partial,4,China,2013-10-01
CY030197,Influenza A virus (A/Illinois/UR06-0600/2007(H3N2)),2008-02-22,partial,4,USA,2007-03-14
CY154004,Influenza B virus (B/Sydney/502/2011),2013-10-15,partial,6,Australia,2011-05-24
PQ693997,Influenza A virus,2024-12-06,partial,6,USA,2019-12-27
OZ034862,Alphainfluenzavirus influenzae,2024-04-19,partial,8,,
CY250823,Influenza A virus (A/Victoria/5025/2014(H3N2)),2017-11-14,partial,2,Australia,2014-09-01
KC295848,Influenza A virus (A/equine/Newmarket/1/1993(H3N8)),2013-03-30,partial,4,United Kingdom,1993
KR010594,Influenza A virus (A/duck/Shandong/824/2011(H9N2)),2020-11-30,partial,4,China,2011-04-17
CY000585,Influenza A virus (A/New York/130/2002(H3N2)),2005-03-29,partial,4,USA,2002-03-11
MN581197,Influenza A virus,2019-10-22,partial,4,USA,2019-01-17
KR073372,Influenza B virus (B/Malaysia/U1154/2012),2015-09-08,partial,4,Malaysia,2012-09-12
CY158833,Influenza A virus (A/swine/Texas/SG1187/2004(H1N1)),2013-12-04,partial,4,USA,2004-02-25
HM625635,Influenza A virus (A/Rome/PTV14/2009(H1N1)),2011-07-07,partial,4,Italy,2009-11-15
KT836096,Influenza A virus (A/Florida/21/2015(H3N2)),2015-10-11,partial,8,USA,2015-01-21
CY119555,Influenza B virus (B/Malaysia/10837/1996),2012-05-14,partial,7,Malaysia,1996-09-19
KT842599,Influenza A virus (A/Mississippi/10/2015(H3N2)),2015-10-11,partial,8,USA,2015-02-23
CY115713,Influenza A virus (A/Hong Kong/H090-739-V22/2009(H3N2)),2012-04-13,partial,7,Hong Kong,2009-07-27
CY066554,Influenza A virus (A/San Diego/INS198/2009(H1N1)),2010-07-13,partial,5,USA,2009-10-21
KC845057,Influenza A virus (A/ring-billed gull/Newfoundland/GR384/2011(H13N6)),2013-04-28,partial,2,Canada,2011-09-09
MN083915,Influenza A virus,2019-06-25,partial,5,USA,2019-03-25
CY221369,Influenza B virus (B/Alabama/02/2017),2017-03-03,partial,7,USA,2017-01-31
OQ663264,Influenza A virus,2023-03-26,partial,7,USA,2022-12-16
PQ446651,Influenza A virus,2024-10-09,partial,5,USA,2024-07-29
MT029494,Influenza B virus,2020-02-12,partial,4,USA,2019-12-03
DQ335773,Influenza A virus (A/turkey/Ohio/313053/2004(H3N2)),2006-01-14,partial,,Turkey,
MH328881,Influenza A virus,2020-05-31,partial,6,Taiwan,2014-03-06
CY223435,Influenza A virus (A/Mississippi/05/2017(H1N1)),2017-03-24,partial,2,USA,2017-02-14
PQ571465,Influenza A virus,2024-11-07,partial,6,USA,2024-10-14
KY056400,Influenza A virus (A/swine/Minnesota/A01365714/2013(H1N2)),2016-11-27,partial,1,USA,2013-11-06
OP952533,Influenza A virus,2022-12-11,partial,5,USA,2021-11-11
CY010437,Influenza A virus (A/Canterbury/68/2001(H1N1)),2006-04-05,partial,7,New Zealand,2001-07-18
KP415719,Influenza A virus (A/chicken/Dongguan/1424/2014(mixed)),2015-03-06,partial,3,China,2014-02-21
MN248269,Influenza A virus,2019-08-07,partial,6,USA,2019-03-07
OQ671011,Influenza A virus,2023-03-26,partial,2,USA,2022-12-29
DM089700,Influenza A virus,2009-04-21,partial,,,
LC427530,Influenza A virus,2018-10-11,partial,3,Viet Nam,2017-08-01
MN561357,Influenza A virus,2020-12-01,partial,8,Thailand,2018-10-30
JF519788,Influenza A virus (A/chicken/Shanghai/Q0704/2007(H9N2)),2011-03-27,partial,5,China,2007-04
CY218453,Influenza B virus (B/Indiana/27/2016),2017-02-22,partial,4,USA,2016-12-28
MF630537,Influenza A virus (A/duck/Zhejiang/S4489/2014(H7N9)),2017-10-31,partial,8,China,2014-11-27
CY260863,Influenza A virus (A/Missouri/36/2017(H3N2)),2017-12-22,partial,2,USA,2017-11-02
MK446753,Influenza A virus,2021-01-25,partial,1,China,2016-10-19
M16743,Influenza A virus (A/duck/10/1985(H3)),1993-08-02,partial,,,
HM145475,Influenza A virus (A/duck/Shantou/3656/2002(H6N2)),2010-06-28,partial,2,China,2002
KP413188,Influenza A virus (A/chicken/Shenzhen/749/2013(H7N9)),2015-03-06,partial,2,China,2013-12-10
LC010759,Influenza A virus (A/muscovy duck/Long An/88/2014(H5N1)),2014-11-19,partial,3,Viet Nam,2014-07-12
CY046723,Influenza A virus (A/Wisconsin/629-D02427/2009(H1N1)),2009-09-11,partial,4,USA,2009-05-20
PQ718953,Influenza A virus,2024-12-06,partial,4,USA,2023-01-11
MK942918,Influenza A virus,2019-05-25,partial,2,Viet Nam,2016-04-22
CY062367,Influenza A virus (A/Egypt/N14648/2009(H1N1)),2010-04-30,partial,4,Egypt,2009-11
CY025084,Influenza A virus (A/chicken/Victoria/224/1992(H7N3)),2007-09-06,partial,1,Australia,1992-07-30
CY108733,Influenza A virus (A/Zhejiang-Jianggan/168/2007(H3N2)),2012-03-21,partial,4,China,2007-02-07
CY125690,Influenza A virus (A/Guangdong/222/2011(H3N2)),2014-08-14,partial,6,China,2011-11-23
DM080464,Influenza A virus,2009-04-21,partial,,,
PQ638160,Influenza A virus,2024-11-25,partial,5,USA,2022-12-25
MN094312,Influenza A virus,2022-06-16,partial,1,South Korea,2018-10-05
KX916585,Influenza A virus (A/Vermont/24/2016(H3N2)),2016-10-10,partial,1,USA,2016-04-17
CY218487,Influenza B virus (B/Texas/02/2017),2017-02-22,partial,7,USA,2017-01-07
MT566392,Influenza A virus,2020-06-10,partial,6,USA,2017
AY428488,Influenza A virus (A/swine/Hong Kong/9/98-MA(H9N2)),2003-12-21,partial,,Hong Kong,
OP388465,Influenza A virus,2022-09-12,partial,8,Uganda,2019-07-17
AB679528,Influenza A virus (A/Sendai/EQ050/2011(H3N2)),2013-04-03,partial,4,Japan,2011
ON904313,Influenza A virus,2022-07-07,partial,4,USA,2022-04-14
MG917075,Influenza A virus,2018-02-12,partial,6,USA,2018-01-10
CY023201,Influenza A virus (A/chicken/Shantou/1689/2003(H9N2)),2007-09-19,partial,5,China,2003
PP836522,Influenza A virus,2024-05-29,partial,7,USA,2024-04-05
KP638060,Influenza A virus (A/Thailand/PY08064/2009(H3N2)),2016-01-31,partial,2,Thailand,2009-10-12
PQ714018,Influenza A virus,2024-12-06,partial,5,USA,2022-01-30
MW096022,Influenza A virus,2020-10-19,partial,2,China,2019-01-26
CY075565,Influenza A virus (A/Boston/655/2009(H1N1)),2010-10-11,partial,7,USA,2009-11-13
CY227399,Influenza A virus (A/Florida/17/2017(H3N2)),2017-04-19,partial,5,USA,2017-02-19
OP212211,Influenza A virus,2022-08-17,partial,7,USA,2022-04-20
JQ599477,Influenza B virus (B/Singapore/38C/2010),2012-03-03,partial,4,Singapore,2010-09-28
DM133156,Influenza B virus,2009-07-14,partial,,,
PQ012159,Influenza A virus,2024-07-17,partial,8,USA,2024-05-18
PP625748,Influenza A virus,2024-04-15,partial,8,USA,2023-12-11
PP509579,Influenza A virus,2024-03-26,partial,8,USA,2024-02-14
MN247998,Influenza A virus,2019-08-07,partial,2,USA,2019-03-23
OP694558,Influenza A virus,2022-10-26,partial,6,USA,2022-03-17
HQ240923,Influenza A virus (A/Canada-MB/RV2039-10/2009(H1N1)),2011-01-12,partial,1,Canada,2009-07-15
PP279222,Influenza A virus,2024-02-11,partial,7,USA,2023-12-14
OP694285,Influenza A virus,2022-10-26,partial,5,USA,2022-03-12
PP523718,Influenza A virus,2024-03-27,partial,1,USA,2024-03-03
KY925627,Influenza A virus (A/Viamao/LACENRS-733/2014(H3N2)),2017-05-15,partial,1,Brazil,2014-05-28
MN301252,Influenza A virus,2019-08-17,partial,6,Switzerland,2017-03-07
OP214167,Influenza A virus,2022-08-17,partial,1,USA,2022-06-02
OQ839184,Influenza A virus,2024-03-05,partial,4,USA,2019-01-14
MF194582,Influenza A virus (A/swine/Minnesota/MT_12_07_2116/2012(H1N2)),2017-06-24,partial,4,USA,2012-03-21
OM715734,Influenza A virus,2022-02-21,partial,8,USA,2021-11-17
KU042875,Influenza A virus (A/goose/Zhejiang/925105/2014(H5N6)),2015-12-09,partial,8,China,2014-09-25
PP777924,Influenza B virus,2024-05-14,partial,2,USA,2024-04-11
MZ484021,Influenza A virus,2021-07-07,partial,8,Italy,2017-10-27
MW936033,Influenza A virus,2021-09-15,partial,8,Viet Nam,2018-12-26
KJ023093,Influenza A virus (A/Bihar/003/2009(H1N1)),2014-05-01,partial,8,India,2009-08-20
PQ597856,Influenza A virus,2024-11-15,partial,2,USA,2024-09-05
PP656005,Influenza A virus,2024-04-17,partial,8,USA,2024-02-20
PQ719229,Influenza A virus,2024-12-06,partial,8,USA,2022-06-21
OQ770797,Influenza A virus,2023-04-11,partial,7,USA,2020
OQ249423,Influenza A virus,2023-01-18,partial,3,USA,2022-10-28
HM189310,Influenza A virus (A/Chita/CRIE-8/2009(H1N1)),2010-06-01,partial,2,Russia,2009-11-02
KF790101,Influenza A virus (A/Delaware/10/2012(H3N2)),2013-11-06,partial,6,USA,2012-10-20
CY176256,Influenza B virus (B/New York/1365/2012),2014-04-10,partial,2,USA,2012-05-03
DM085870,Influenza A virus,2009-04-21,partial,,,
CY248320,Influenza B virus (B/Louisiana/25/2017),2017-11-01,partial,3,USA,2017-03-14
CY262971,Influenza B virus (B/New York/B-WC-LVD-17-011/2017),2018-01-02,partial,2,USA,2017-04-03
PQ696553,Influenza A virus,2024-12-06,partial,1,USA,2020-02-15
CY196909,Influenza B virus (B/Brisbane/6/2012),2016-02-24,partial,8,Australia,2012-03-22
CY000276,Influenza A virus (A/New York/82/2001(H3N2)),2005-03-14,partial,5,USA,2001-12-26
AB286012,Influenza A virus (A/Hanoi/TX09/2006(H1N1)),2007-05-29,partial,4,Viet Nam,2006-06-08
OR009100,Influenza A virus,2023-05-24,partial,3,USA,2023-02-02
MG974259,Influenza A virus,2018-02-26,partial,5,USA,2017-12-08
PQ693099,Influenza A virus,2024-12-06,partial,1,USA,2018-12-25
OQ231959,Influenza A virus,2023-01-17,partial,5,USA,2022-11-01
AF073186,Influenza A virus (A/chicken/New York/19542-5/1995(H7N2NSB)),1999-04-16,partial,,,
MW106903,Influenza A virus,2020-10-19,partial,3,China,2016-12-01
CY227883,Influenza A virus (A/Louisiana/15/2017(H3N2)),2017-05-03,partial,1,USA,2017-03-16
MW103002,Influenza A virus,2020-10-19,partial,6,China,2017-05-25
KU558809,Influenza A virus (A/swine/Oklahoma/A01728619/2015(H1N2)),2016-02-10,partial,4,USA,2015-12-22
OQ225790,Influenza A virus,2023-04-04,partial,4,Poland,2019-02-14
KP767790,Influenza A virus (A/chicken/Anhui/A1692/2014(H9N2)),2016-02-05,partial,6,China,2014-04-22
MF145385,Influenza A virus (A/swine/Iowa/A01795483/2015(H1N2)),2017-06-18,partial,5,USA,2015-10-20
MF795003,Influenza A virus (A/chicken/Daye/DY0602/2017(H9N2)),2017-09-23,partial,8,China,2017-03-13
CY094997,Influenza A virus (A/quail/New York/23164-12/2005(H7N2)),2011-07-20,partial,7,USA,2005-03-04
MT582268,Influenza A virus,2020-06-14,partial,6,USA,2020-03-07
KY635514,Influenza A virus (A/chicken/Bangladesh/25945/2015(H9N2)),2017-03-18,partial,4,Bangladesh,2015-08-25
PQ689097,Influenza A virus,2024-12-06,partial,1,USA,2019-03-09
KT837702,Influenza A virus (A/California/51/2014(H3N2)),2015-10-11,partial,1,USA,2014-10-19
PP342341,Influenza A virus,2024-02-21,partial,6,USA,2023-11-21
CY065772,Influenza A virus (A/Canada/GFA0402/2009(H1N1)),2010-06-26,partial,6,Canada,2009-04
MN530487,Influenza A virus,2019-12-01,partial,4,South Korea,2009-12-30
OR747039,Influenza A virus,2023-11-04,partial,4,USA,2023-04-05
KM234862,Influenza A virus (A/chicken/Jiangxi/JXA132322/2013(N8)),2014-08-24,partial,7,China,2013-12-22
PQ597080,Influenza A virus,2024-11-15,partial,2,USA,2024-08-19
CY028148,Influenza A virus (A/Kentucky/UR06-0182/2007(H1N1)),2007-11-27,partial,7,USA,2007-02-06
MT244062,Influenza A virus,2020-03-31,partial,4,USA,2020-01-13
KP456741,Influenza A virus (A/CAEN/241/2002(H3N2)),2015-06-01,partial,4,France,2002
PP232396,Influenza A virus,2024-02-04,partial,6,USA,2023-12-09
MK237457,Influenza A virus,2019-01-09,partial,6,USA,2017-10-01
CY214336,Influenza A virus (A/Texas/03/2017(H1N1)),2017-01-30,partial,2,USA,2017-01-05
MW855514,Influenza A virus,2021-04-08,partial,7,USA,2020-03-11
PQ688206,Influenza A virus,2024-12-06,partial,6,USA,2019-04-10
JX513127,Influenza B virus (B/Thailand/CU-C1768/2011),2013-06-30,partial,5,Thailand,2011-03-22
MW101312,Influenza A virus,2020-10-19,partial,7,China,2018-12-22
KC891573,Influenza A virus (A/Delaware/03/2012(H1N1)),2013-05-11,partial,4,USA,2012-02-12
KT828129,Influenza A virus (A/swine/Indiana/14TOSU0231/2014(mixed)),2015-10-21,partial,6,USA,2014
KY289854,Influenza B virus (B/North Carolina/27/2016),2016-12-11,partial,5,USA,2016-10-04
KP187336,Influenza A virus (A/chicken/Hubei/R299/2012(H9)),2015-11-30,partial,4,China,2012-11-08
PP304803,Influenza A virus,2024-02-13,partial,7,USA,2023-10-26
MN002674,Influenza A virus,2019-06-05,partial,6,USA,2019-01-14
OP099110,Influenza A virus,2022-08-02,partial,7,USA,2022-04-18
KC891955,Influenza B virus (B/New Hampshire/01/2012),2013-05-11,partial,6,USA,2012-01-03
MW099749,Influenza A virus,2020-10-19,partial,6,China,2018-12-27
EU153289,Influenza A virus (A/duck/Kamphaenphet/NIAH6-2-0045/2004(H5N1)),2007-12-31,partial,8,,
PQ267867,Influenza A virus,2024-08-30,partial,2,USA,2024-06-07
LC718335,Influenza A virus,2023-01-12,partial,1,Japan,2022-04-16
OQ967783,Influenza A virus,2023-08-23,partial,7,USA,2022-04-11
CY056512,Influenza A virus (A/New York/5083/2009(H1N1)),2010-03-16,partial,3,USA,2009-10-13
CY130571,Influenza A virus (A/swine/Ohio/09SW1489E/2009(H1N2)),2013-01-03,partial,2,USA,2009-07-05
HB379371,Influenza A virus,2009-06-09,partial,,,
MH130187,Influenza A virus,2019-04-27,partial,5,South Korea,2014-12-23
MT242879,Influenza B virus,2020-03-31,partial,8,USA,2020-01-20
PP684725,Influenza A virus,2024-04-23,partial,2,USA,2024-01-26
MW843918,Influenza A virus,2021-07-31,partial,6,USA,2015-08-17
MH126504,Influenza A virus,2018-04-01,partial,5,USA,2018-01-12
MK763404,Influenza A virus,2019-04-13,partial,3,USA,2019-01-18
OR719587,Influenza A virus,2024-10-03,partial,4,China,2017-08-06
KU821080,Influenza A virus (A/British Columbia/01/2016(H1N1)),2016-03-16,partial,4,Canada,2016-01-03
MH578833,Influenza A virus,2018-08-12,partial,1,USA,2004-05-17
PQ715021,Influenza A virus,2024-12-06,partial,8,USA,2022-04-12
MK024148,Influenza A virus,2018-10-10,partial,6,USA,2018-09-04
OQ794742,Influenza A virus,2023-04-16,partial,8,USA,2022-12-01
CY015406,Influenza B virus (B/Nevada/1/2006),2006-09-20,partial,4,USA,2006-03-06
MK969172,Influenza B virus,2019-06-02,partial,1,Nicaragua,2017-06-27
JF929797,Influenza A virus (A/Guangdong/371/2010(H1N1)),2011-12-31,partial,6,China,2010-08-11
PQ832824,Influenza A virus,2025-01-03,partial,7,USA,2024-12-06
CY028632,Influenza A virus (A/chicken/New York/29047-4/2006(H7N2)),2007-12-28,partial,8,USA,2006
JX309643,Influenza A virus (A/Singapore/GP3532/2010(H1N1)),2012-08-08,partial,4,Singapore,2010-07-15
MW094800,Influenza A virus,2020-10-19,partial,1,China,2018-09-05
MT211184,Influenza A virus,2020-03-22,partial,3,USA,2019-05-01
CY197118,Influenza B virus (B/Singapore/6/2012),2016-02-24,partial,3,Singapore,2012-02-20
MG280491,Influenza A virus (A/blue-winged teal/Ohio/16OS1068/2016(H9N4)),2017-12-06,partial,5,USA,2016-09-10
CY186030,Influenza A virus (A/Houston/JMM_150/2013(H3N2)),2014-05-09,partial,5,USA,2013-01-25
ON533160,Influenza A virus,2022-12-31,partial,6,USA,2021-12-03
MH246663,Influenza A virus,2018-04-29,partial,4,USA,2018-02-23
HM172233,Influenza A virus (A/chicken/Hunan/21/2005(H5N1)),2010-08-10,partial,5,China,2005
MK399158,Influenza A virus,2019-01-20,partial,1,USA,2018-10-31
MK996215,Influenza A virus,2019-12-03,partial,7,South Africa,2016-10-24
CY161736,Influenza A virus (A/Peru/PER184/2010(H3N2)),2013-12-16,partial,4,Peru,2010-10-14
MK970302,Influenza A virus,2019-06-02,partial,2,USA,2013-01-22
PQ756240,Influenza A virus,2024-12-12,partial,6,Netherlands,2018-12-26
MW873569,Influenza A virus,2022-05-25,partial,7,USA,2018-09-25
CY028000,Influenza A virus (A/Virginia/UR06-0092/2007(H1N1)),2007-11-27,partial,3,USA,2007-01-29
HM214591,Influenza A virus (A/common teal/Shanghai/5F/2007(H9)),2011-03-30,partial,4,China,2007-10
MN560782,Influenza A virus,2020-12-01,partial,5,Thailand,2017-09-01
KR701448,Influenza A virus (A/swine/Spain/33936/2012(H3N2)),2015-08-03,partial,5,Spain,2012-07-05
MK745496,Influenza A virus,2019-04-10,partial,4,USA,2019-01-05
FN401578,Influenza A virus (A/Regensburg/D6/2009(H1N1)),2009-07-10,partial,8,Germany,
KU591500,Influenza A virus (A/Michigan/52/2015(H3N2)),2016-02-06,partial,7,USA,2015-09-14
OQ967849,Influenza A virus,2023-08-23,partial,1,USA,2022-04-14
CY046145,Influenza A virus (A/mallard/France/061054/2006(H5N3)),2009-12-21,partial,7,France,2006-11-07
AY139074,Influenza B virus (B/Hong Kong/1351/2002),2002-10-16,partial,6,China,
MN687506,Influenza A virus,2020-01-01,partial,1,Saudi Arabia,2017-12
MK241265,Influenza A virus,2018-12-05,partial,7,USA,2018-03-28
KP766269,Influenza A virus (A/chicken/Anhui/A2805/2014(H9)),2016-02-05,partial,4,China,2014-09-16
PQ078835,Influenza B virus,2024-07-30,partial,8,USA,2024-05-02
JN247607,Influenza A virus (A/canine/Jiangsu/04/2010(H3N2)),2011-07-31,partial,8,China,2010-05
CY065352,Influenza A virus (A/England/247/2009(H1N1)),2011-12-14,partial,6,United Kingdom,2009-05-03
PP875133,Influenza A virus,2024-06-11,partial,3,USA,2024-01-22
CY118557,Influenza A virus (A/Malaysia/12942/1999(H3N2)),2012-05-13,partial,5,Malaysia,1999-11-02
PQ690871,Influenza A virus,2024-12-06,partial,7,USA,2019-03-26
CY086911,Influenza A virus (A/swine/Minnesota/226128/2010(H1N1)),2011-03-02,partial,3,USA,2010-09-08
OP950974,Influenza A virus,2022-12-11,partial,6,USA,2022-10-13
CY144116,Influenza A virus (A/northern pintail/Interior Alaska/10BM12552R0/2010(H3N8)),2013-05-13,partial,3,USA,2010-08-14
JF833364,Influenza A virus (A/swine/Iowa/A01049160/2010(H3N2)),2011-05-24,partial,7,USA,2010-11-30
CY151983,Influenza B virus (B/Brisbane/19/2005),2013-10-15,partial,1,Australia,2005-07-31
EU086293,Influenza A virus (A/bird/Guangxi/83/2005(H9N2)),2007-09-22,partial,,China,
OP511478,Influenza A virus,2022-09-28,partial,4,USA,2022-03-08
MN074342,Influenza A virus,2019-06-22,partial,8,Germany,2019-03-27
PQ638318,Influenza B virus,2024-11-25,partial,4,USA,2023-12-15
KU290080,Influenza A virus (A/mallard/New Jersey/A00122457/2008(H7N8)),2015-12-27,partial,7,USA,2008-11-22
CY008821,Influenza A virus (A/Canterbury/89/2000(H3N2)),2006-02-07,partial,7,New Zealand,2000-10-03
MK287802,Influenza A virus,2019-06-03,partial,6,Ghana,2017-11-29
PQ696504,Influenza A virus,2024-12-06,partial,4,USA,2020-02-17
EU103889,Influenza A virus (A/Denmark/102/2004(H3N2)),2008-03-26,partial,6,Denmark,
PP753628,Influenza A virus,2024-05-03,partial,1,USA,2024-03-29
MN571435,Influenza A virus,2019-10-21,partial,8,Australia,2017-06-15
PP233988,Influenza A virus,2024-02-04,partial,7,USA,2023-12-05
DM082163,Influenza A virus,2009-04-21,partial,,,
CY058176,Influenza A virus (A/Managua/792.01/2009(H1N1)),2010-03-26,partial,8,Nicaragua,2009-06-13
KX614406,Influenza B virus (B/Virginia/07/2016),2016-08-03,partial,3,USA,2016-03-10
KP285998,Influenza A virus (A/chicken/Jiangxi/13242/2014(H10N6)),2015-01-26,partial,5,China,2014-03-30
CY185521,Influenza A virus (A/black-headed gull/Georgia/2/2011(H9N1)),2014-05-09,partial,4,Georgia,2011-04-19
CY151988,Influenza B virus (B/Brisbane/26/2005),2013-10-15,partial,5,Australia,2005-08-03
PP690236,Influenza A virus,2024-04-23,partial,1,USA,2023-12-30
PQ688853,Influenza A virus,2024-12-06,partial,5,USA,2019-02-21
CY119774,Influenza B virus (B/Malaysia/33021/2005),2012-05-14,partial,8,Malaysia,2005-11-17
JX422569,Influenza A virus (A/swine/Illinois/A01327231/2012(H1N2)),2012-10-06,partial,4,USA,2012-03-22
MN003591,Influenza A virus,2019-06-05,partial,1,USA,2019-03-10
MN301456,Influenza A virus,2019-08-17,partial,5,Switzerland,2017-02-06
MN221576,Influenza A virus,2019-07-31,partial,3,USA,2019-04-04
PP829426,Influenza A virus,2024-05-27,partial,3,Chile,2017-09-07
OR140141,Influenza A virus,2023-06-20,partial,2,Nicaragua,2022-06-12
CY189661,Influenza A virus (A/Nicaragua/30184_01_TR2/2013(H3N2)),2015-02-06,partial,2,Nicaragua,2013-07-10
GU354081,Influenza A virus (A/chicken/Sikkim/151464/2009(H5N1)),2011-12-31,partial,4,India,2009-01
PP305633,Influenza A virus,2024-02-13,partial,6,USA,2023-10-11
PP821577,Influenza A virus,2024-05-26,partial,7,USA,2024-02-21
KT842072,Influenza A virus (A/Indiana/13/2015(H3N2)),2015-10-11,partial,3,USA,2015-02-17
KJ395981,Influenza A virus (A/chicken/Guangdong/3135/2013(H7N9)),2015-02-28,partial,1,China,2013-05-16
CY029281,Influenza A virus (A/duck/Hunan/1340/2002(H5N1)),2008-02-28,partial,6,China,2002
PQ842322,Influenza A virus,2025-01-06,partial,6,USA,2024-10-06
CY220835,Influenza A virus (A/California/17/2017(H1N1)),2017-03-03,partial,8,USA,2017-01-26
CY147649,Influenza A virus (A/Mexico/24011/2008(H3N2)),2013-07-18,partial,2,Mexico,2008-11-01
CY121328,Influenza A virus (A/Harbin/15/1992(H3N2)),2012-06-20,partial,5,China,1992
CY027687,Influenza A virus (A/Oregon/UR06-0202/2007(H3N2)),2007-11-06,partial,8,USA,2007-02-06
OQ240770,Influenza A virus,2023-01-17,partial,7,Germany,2022-10-02
KP335933,Influenza A virus (A/Thailand/CU-B8364/2013(H3N2)),2015-12-31,partial,4,Thailand,2013-09-23
MF046458,Influenza A virus (A/mallard/Alberta/464/2015(H10N7)),2017-07-11,partial,3,Canada,2015-08-11
AX225029,Equine influenza virus H3N8,2001-09-10,partial,,,
PP498337,Influenza A virus,2024-03-23,partial,3,USA,2024-02-14
AY972829,Influenza A virus (A/Minas Gerais/154/04(H3N2)),2006-04-15,partial,,Brazil,
HQ541655,Influenza A virus (A/swine/Hunan/26/2010(H1N1)),2012-12-30,partial,1,China,2010-01
CY095921,Influenza A virus (A/Zhejiang/81/2009(H1N1)),2011-12-15,partial,5,China,2009-11
KP413844,Influenza A virus (A/chicken/Huzhou/4079/2013(mixed)),2015-03-06,partial,3,China,2013-10-24
